"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Central Kasai",0.1171,0.1171,0.09381,0.1453,0.05151,0.1332
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Équateur",0.1466,0.1466,0.1159,0.1837,0.06783,0.1402
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Haut-Katanga",0.1766,0.1766,0.1407,0.2193,0.0786,0.1351
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Haut-Lomami",0.03069,0.03069,0.01747,0.05335,0.03588,0.3398
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Ituri",0.1468,0.1468,0.1167,0.1832,0.06647,0.1372
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Kasai",0.07429,0.07429,0.03915,0.1365,0.09736,0.3815
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Kasai-Oriental",0.06108,0.06108,0.03897,0.09448,0.05551,0.2697
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Kinshasa",0.1783,0.1783,0.1529,0.2069,0.05401,0.09203
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Kongo-Central",0.1081,0.1081,0.07726,0.1493,0.07201,0.2006
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Kwango",0.06315,0.06315,0.04163,0.09468,0.05306,0.2502
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Kwilu",0.1101,0.1101,0.07636,0.1561,0.07973,0.2178
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Lomami",0.03562,0.03562,0.02065,0.06077,0.04011,0.3286
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Lower Uele",0.0157,0.0157,0.008055,0.03039,0.02233,0.4041
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Lualaba",0.04182,0.04182,0.02392,0.07211,0.04819,0.3362
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Mai-Ndombe",0.1131,0.1131,0.08073,0.1564,0.07562,0.2013
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Maniema",0.0552,0.0552,0.03939,0.07685,0.03746,0.2034
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Mongala",0.08971,0.08971,0.06207,0.128,0.06594,0.2205
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Nord-Ubangi",0.07391,0.07391,0.05467,0.09921,0.04454,0.1813
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"North Kivu",0.1966,0.1966,0.1587,0.241,0.08238,0.1273
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Sankuru",0.03429,0.03429,0.02076,0.05615,0.0354,0.303
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"South Kivu",0.05525,0.05525,0.03526,0.08557,0.05032,0.27
"COD","Congo Democratic Republic",2023,"CD2023DHS","FP_CUSM_W_MOD",1,"Sud-Ubangi",0.1158,0.1158,0.07457,0.1756,0.101,0.2613
