"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"Addis Ababa",0.4756,0.4756,0.4247,0.527,0.1022,0.06558
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"Afar",0.1269,0.1269,0.08848,0.1786,0.09016,0.2141
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"Amhara",0.4948,0.4948,0.4458,0.544,0.09815,0.06049
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"Beneshangul Gumu",0.367,0.367,0.3186,0.4183,0.09977,0.08288
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"Dire Dawa",0.3033,0.3033,0.2619,0.3481,0.0862,0.08657
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"Gambela",0.3321,0.3321,0.2352,0.4456,0.2104,0.195
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"Hareri",0.3032,0.3032,0.261,0.3489,0.0879,0.08831
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"Oromia",0.3895,0.3895,0.3356,0.4461,0.1105,0.08657
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"SNNPR",0.4464,0.4464,0.3857,0.5088,0.1231,0.08426
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"Somali",0.03376,0.03376,0.0151,0.07377,0.05867,0.484
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",1,"Tigray",0.3634,0.3634,0.3151,0.4147,0.09953,0.0835
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Addis Ababa_Region 14",0.4736,0.4738,0.4201,0.5252,0.1051,0.06564
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Afar_Zone 1",0.2057,0.1993,0.1279,0.3017,0.1737,0.2678
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Afar_Zone 2",0.06814,0.06528,0.03811,0.1084,0.07033,0.3388
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Afar_Zone 3",0.1055,0.0948,0.04277,0.2045,0.1617,0.5643
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Afar_Zone 4",0.1743,0.1716,0.1214,0.2352,0.1138,0.2025
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Afar_Zone 5",0.07438,0.06574,0.02654,0.1542,0.1277,0.6035
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_Awi/Agew",0.2963,0.2921,0.1656,0.4488,0.2832,0.2939
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_East Gojam",0.4364,0.4353,0.3598,0.5123,0.1524,0.105
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_North Gonder",0.5166,0.5187,0.3752,0.6565,0.2813,0.1719
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_North Shewa(R3)",0.4423,0.4391,0.3444,0.5543,0.21,0.1442
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_North Wollo",0.5569,0.5574,0.5061,0.6089,0.1028,0.07147
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_Oromia",0.4691,0.4622,0.242,0.7031,0.4611,0.3098
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_South Gonder",0.5255,0.526,0.4372,0.614,0.1769,0.1155
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_South Wollo",0.5708,0.57,0.5037,0.6392,0.1355,0.09773
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_Special Woreda",0.4851,0.4771,0.2278,0.7671,0.5392,0.3434
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_Wag Himra",0.3294,0.3296,0.1969,0.4736,0.2767,0.2603
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Amhara_West Gojam",0.5114,0.5121,0.4235,0.6015,0.178,0.1126
"ETH","Ethiopia",2019,"ET2019DHS","FP_CUSM_W_MOD",2,"Beneshangul Gumu_Asosa",0.3375,0.3362,0.2751,0.403,0.1279,0.1166
