"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Baringo",0.4769,0.4769,0.4103,0.5443,0.1341,0.08598
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Bomet",0.5874,0.5874,0.5431,0.6304,0.08734,0.06451
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Bungoma",0.6366,0.6366,0.5983,0.6733,0.07498,0.06283
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Busia",0.554,0.554,0.5124,0.595,0.08259,0.05642
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Elgeyo-Marakwet",0.5902,0.5902,0.5336,0.6445,0.111,0.08263
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Embu",0.7516,0.7516,0.704,0.7938,0.08984,0.1101
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Garissa",0.1156,0.1156,0.0717,0.181,0.1093,0.2827
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Homa Bay",0.5429,0.5429,0.4951,0.59,0.09487,0.06328
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Isiolo",0.2875,0.2875,0.237,0.3439,0.1069,0.1134
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Kajiado",0.5725,0.5725,0.5079,0.6347,0.1268,0.09064
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Kakamega",0.6336,0.6336,0.5899,0.6752,0.08525,0.07089
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Kericho",0.5918,0.5918,0.5466,0.6355,0.08897,0.06642
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Kiambu",0.6823,0.6823,0.6275,0.7325,0.105,0.1007
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Kilifi",0.4468,0.4468,0.401,0.4936,0.09265,0.06321
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Kirinyaga",0.7079,0.7079,0.6576,0.7535,0.09598,0.1001
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Kisii",0.6355,0.6355,0.5929,0.676,0.08317,0.0695
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Kisumu",0.5656,0.5656,0.5194,0.6106,0.0912,0.06399
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Kitui",0.6238,0.6238,0.5581,0.6852,0.127,0.1032
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Kwale",0.3459,0.3459,0.297,0.3983,0.1013,0.08928
"KEN","Kenya",2022,"KE2022DHS","FP_CUSM_W_MOD",1,"Laikipia",0.6465,0.6465,0.5847,0.7037,0.119,0.1027
