"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",1,"Bamako",0.2188,0.2188,0.1913,0.2492,0.05792,0.08046
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",1,"Gao",0.0362,0.0362,0.02096,0.06182,0.04086,0.3294
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",1,"Kayes",0.1055,0.1055,0.08117,0.1359,0.05478,0.1569
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",1,"Kidal",0.0521,0.0521,0.02727,0.09725,0.06997,0.3878
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",1,"Koulikouro",0.1956,0.1956,0.1676,0.227,0.05944,0.09234
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",1,"Mopti",0.0868,0.0868,0.06338,0.1178,0.0544,0.1886
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",1,"Segou",0.2025,0.2025,0.1711,0.2381,0.06703,0.1006
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",1,"Sikasso",0.1917,0.1917,0.1627,0.2244,0.06162,0.09769
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",1,"Tombouctou",0.05657,0.05657,0.0359,0.08807,0.05217,0.2733
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",2,"Bamako_Bamako",0.2204,0.2198,0.1905,0.2498,0.05937,0.0828
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",2,"Gao_Ansongo",0.04119,0.03617,0.01572,0.08355,0.06783,0.6204
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",2,"Gao_Bourem",0.03248,0.03034,0.01595,0.05647,0.04053,0.4117
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",2,"Gao_Gao",0.04135,0.03946,0.02179,0.06667,0.04488,0.3669
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",2,"Gao_Menaka",0.04186,0.0353,0.01256,0.09011,0.07755,0.8117
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",2,"Kayes_Bafoulabe",0.08878,0.08434,0.04649,0.1451,0.0986,0.3649
"MLI","Mali",2018,"ML2018DHS","FP_CUSM_W_MOD",2,"Kayes_Diema",0.09834,0.09455,0.05356,0.159,0.1055,0.3468
