"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",1,"Cabo Delgado",0.1366,0.1366,0.1179,0.1577,0.03989,0.08865
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",1,"Gaza",0.4683,0.4683,0.4308,0.5061,0.07526,0.04895
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",1,"Inhambane",0.4109,0.4109,0.3684,0.4548,0.08644,0.0641
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",1,"Manica",0.2653,0.2653,0.2282,0.3061,0.07794,0.0894
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",1,"Maputo",0.6184,0.6184,0.5849,0.6508,0.06595,0.05261
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",1,"Nampula",0.1306,0.1306,0.1068,0.1588,0.05195,0.1206
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",1,"Niassa",0.2123,0.2123,0.1782,0.2509,0.07267,0.1041
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",1,"Sofala",0.268,0.268,0.2364,0.3022,0.06587,0.07477
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",1,"Tete",0.3146,0.3146,0.2751,0.3569,0.08187,0.07926
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",1,"Zambézia",0.1118,0.1118,0.08525,0.1453,0.06001,0.1622
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Ancuabe",0.103,0.09975,0.06426,0.1532,0.08894,0.2805
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Balama",0.1368,0.1327,0.08655,0.1978,0.1112,0.2572
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Chiure",0.1384,0.1356,0.09837,0.1868,0.08839,0.2041
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Cidade De Pemba",0.1682,0.1672,0.1306,0.2112,0.08066,0.1417
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Ibo",0.2161,0.1925,0.05791,0.4781,0.4202,0.6774
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Macomia",0.138,0.1264,0.05366,0.2679,0.2142,0.5356
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Mecufi",0.07338,0.07281,0.05555,0.09259,0.03704,0.154
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Meluco",0.1387,0.1295,0.0626,0.2488,0.1862,0.4556
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Metuge",0.1283,0.1246,0.07749,0.1896,0.1121,0.2783
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Mocimboa Da Praia",0.1426,0.1297,0.05009,0.2804,0.2303,0.5495
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Montepuez",0.1811,0.1797,0.1409,0.2276,0.08668,0.1508
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Mueda",0.1453,0.1341,0.05889,0.2724,0.2135,0.4957
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Muidumbe",0.1392,0.1254,0.05016,0.275,0.2249,0.5632
"MOZ","Mozambique",2022,"MZ2022DHS","FP_CUSM_W_MOD",2,"Cabo Delgado_Namuno",0.1058,0.103,0.06949,0.151,0.08151,0.245
