"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Abia",0.7396,0.7396,0.6112,0.8368,0.2256,0.2658
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Abuja Federal Capital Territory",0.7991,0.7991,0.694,0.8746,0.1805,0.2728
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Adamawa",0.5565,0.5565,0.4413,0.666,0.2247,0.1566
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Akwa Ibom",0.6954,0.6954,0.5859,0.7864,0.2005,0.2021
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Anambra",0.6981,0.6981,0.5758,0.7975,0.2217,0.2261
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Bauchi",0.567,0.567,0.4688,0.6601,0.1913,0.1359
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Bayelsa",0.7157,0.7157,0.5982,0.8098,0.2116,0.2286
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Benue",0.4844,0.4844,0.4024,0.5673,0.165,0.1045
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Borno",0.4536,0.4536,0.3562,0.5548,0.1986,0.1348
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Cross River",0.8132,0.8132,0.7314,0.8744,0.1429,0.2319
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Delta",0.8623,0.8623,0.79,0.9125,0.1225,0.2673
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Ebonyi",0.704,0.704,0.6153,0.7796,0.1642,0.1698
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Edo",0.8548,0.8548,0.7556,0.918,0.1624,0.3345
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Ekiti",0.7288,0.7288,0.5218,0.8687,0.3469,0.3993
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Enugu",0.8251,0.8251,0.7457,0.8836,0.1379,0.2385
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Gombe",0.5522,0.5522,0.4675,0.634,0.1665,0.1141
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Imo",0.8344,0.8344,0.7516,0.8935,0.142,0.2588
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Jigawa",0.6161,0.6161,0.5381,0.6885,0.1504,0.1199
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Kaduna",0.4368,0.4368,0.3655,0.5108,0.1453,0.1018
"NGA","Nigeria",2024,"NG2024DHS","CH_VACC_C_MSL",1,"Kano",0.383,0.383,0.3148,0.456,0.1412,0.1128
