"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",1,"City of Kigali",0.5493,0.5493,0.5118,0.5861,0.07428,0.05019
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",1,"Eastern Province",0.6145,0.6145,0.5908,0.6378,0.04702,0.03711
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",1,"Northern Province",0.6488,0.6488,0.6235,0.6733,0.04983,0.04316
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",1,"Southern Province",0.5603,0.5603,0.5382,0.5822,0.04398,0.03043
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",1,"Western Province",0.5444,0.5444,0.5172,0.5713,0.05412,0.03614
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"City of Kigali_Gasabo",0.535,0.5352,0.4894,0.5778,0.08844,0.05827
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"City of Kigali_Kicukiro",0.577,0.5769,0.5219,0.6319,0.11,0.0772
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"City of Kigali_Nyarugenge",0.5566,0.5557,0.4997,0.6142,0.1144,0.07801
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Eastern Province_Bugesera",0.5652,0.5645,0.5177,0.6112,0.09355,0.0638
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Eastern Province_Gatsibo",0.618,0.6184,0.5711,0.6661,0.09502,0.07486
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Eastern Province_Kayonza",0.6122,0.6135,0.5626,0.6571,0.09459,0.07353
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Eastern Province_Kirehe",0.6501,0.6511,0.6025,0.6994,0.09691,0.08358
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Eastern Province_Ngoma",0.6084,0.6073,0.5628,0.6571,0.09439,0.0744
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Eastern Province_Nyagatare",0.6248,0.6244,0.5767,0.6762,0.0995,0.08211
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Eastern Province_Rwamagana",0.5835,0.5841,0.5435,0.6207,0.07714,0.05538
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Northern Province_Burera",0.6536,0.6539,0.609,0.6969,0.08793,0.0781
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Northern Province_Gakenke",0.6549,0.655,0.6098,0.6972,0.08738,0.07685
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Northern Province_Gicumbi",0.6338,0.6345,0.5879,0.6759,0.08806,0.0715
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Northern Province_Musanze",0.6561,0.6564,0.6177,0.6926,0.0749,0.0651
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Northern Province_Rulindo",0.636,0.6367,0.5912,0.679,0.08777,0.07497
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Southern Province_Gisagara",0.5599,0.5594,0.5152,0.6036,0.08842,0.06361
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Southern Province_Huye",0.5549,0.5552,0.51,0.5983,0.0883,0.06121
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Southern Province_Kamonyi",0.5734,0.5729,0.5327,0.6149,0.08223,0.05612
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Southern Province_Muhanga",0.5806,0.581,0.5363,0.625,0.08877,0.06517
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Southern Province_Nyamagabe",0.6093,0.6094,0.5688,0.6496,0.08079,0.06327
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Southern Province_Nyanza",0.5512,0.553,0.4961,0.6024,0.1063,0.07301
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Southern Province_Nyaruguru",0.4991,0.4985,0.4447,0.5535,0.1088,0.06554
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Southern Province_Ruhango",0.5646,0.5662,0.5154,0.6119,0.09647,0.06736
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Western Province_Karongi",0.5744,0.5731,0.5222,0.6339,0.1118,0.07918
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Western Province_Ngororero",0.5735,0.5725,0.5308,0.6168,0.08608,0.06151
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Western Province_Nyabihu",0.5873,0.5855,0.5367,0.6428,0.106,0.07886
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Western Province_Nyamasheke",0.519,0.5201,0.4695,0.5656,0.09616,0.06219
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Western Province_Rubavu",0.4965,0.4971,0.445,0.5454,0.1004,0.0638
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Western Province_Rusizi",0.509,0.5113,0.4469,0.5647,0.1178,0.0744
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Western Province_Rutsiro",0.5568,0.5571,0.508,0.6006,0.09257,0.06377
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",1,"City of Kigali",0.454,0.454,0.3925,0.5169,0.1244,0.08374
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",1,"Eastern Province",0.459,0.459,0.4301,0.4882,0.05813,0.03854
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",1,"Northern Province",0.4822,0.4822,0.4393,0.5255,0.08622,0.05449
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",1,"Southern Province",0.5112,0.5112,0.4786,0.5436,0.06506,0.04052
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",1,"Western Province",0.4555,0.4555,0.4177,0.4937,0.07602,0.05084
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"City of Kigali_Gasabo",0.4494,0.4473,0.3691,0.5357,0.1666,0.114
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"City of Kigali_Kicukiro",0.468,0.4691,0.3895,0.5468,0.1573,0.1045
