"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Dakar",0.3445,0.3445,0.296,0.3964,0.1004,0.08881
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Diourbel",0.1798,0.1798,0.1441,0.222,0.07787,0.1315
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Fatick",0.296,0.296,0.2523,0.3438,0.09152,0.09417
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Kaffrine",0.2375,0.2375,0.1856,0.2986,0.1131,0.145
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Kaolack",0.2237,0.2237,0.1821,0.2718,0.08972,0.122
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Kedougou",0.1943,0.1943,0.1391,0.2647,0.1256,0.1962
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Kolda",0.219,0.219,0.1779,0.2665,0.08855,0.1229
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Louga",0.1875,0.1875,0.1347,0.2549,0.1202,0.1945
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Matam",0.1108,0.1108,0.081,0.1497,0.06866,0.187
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Saint Louis",0.3501,0.3501,0.2706,0.4388,0.1682,0.1473
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Sedhiou",0.2156,0.2156,0.1673,0.2733,0.106,0.1494
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Tambacounda",0.1529,0.1529,0.12,0.1927,0.07266,0.1441
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Thies",0.3224,0.3224,0.2644,0.3866,0.1222,0.1157
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",1,"Ziguinchor",0.3423,0.3423,0.2926,0.3957,0.1031,0.09188
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Dakar_Dakar",0.3588,0.3578,0.2882,0.435,0.1468,0.1217
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Dakar_Guediawaye",0.3065,0.3064,0.2872,0.3261,0.03891,0.03828
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Dakar_Pikine",0.3304,0.3298,0.2674,0.3967,0.1293,0.1207
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Dakar_Rufisque",0.3894,0.3892,0.3297,0.4488,0.1191,0.0938
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Diourbel_Bambey",0.2266,0.2263,0.1936,0.2607,0.0671,0.09042
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Diourbel_Diourbel",0.1644,0.1624,0.1001,0.2342,0.134,0.2549
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Diourbel_Mbacke",0.1981,0.1981,0.1627,0.2335,0.07086,0.108
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Fatick_Fatick",0.3268,0.3269,0.28,0.3758,0.09584,0.08685
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Fatick_Foundiougne",0.2689,0.268,0.207,0.3386,0.1316,0.1486
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Fatick_Gossas",0.2714,0.2708,0.216,0.3324,0.1164,0.1275
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Kaffrine_Birkelane",0.3303,0.3291,0.2645,0.404,0.1394,0.1319
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Kaffrine_Kaffrine",0.1888,0.1873,0.1419,0.2421,0.1001,0.1634
"SEN","Senegal",2019,"SN2019DHS","FP_CUSM_W_MOD",2,"Kaffrine_Koungheul",0.2298,0.229,0.1931,0.2715,0.07838,0.1017
