"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",1,"Eastern",0.1657,0.1657,0.1473,0.1859,0.03853,0.07065
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",1,"North Western",0.1029,0.1029,0.08389,0.1256,0.04175,0.1229
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",1,"Northern",0.1256,0.1256,0.1044,0.1503,0.04594,0.1109
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",1,"Southern",0.1633,0.1633,0.1455,0.1829,0.03736,0.06949
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",1,"Western Area",0.2502,0.2502,0.2161,0.2878,0.07168,0.08714
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Eastern_Kailahun",0.2064,0.2056,0.1793,0.236,0.05663,0.08501
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Eastern_Kenema",0.1618,0.1608,0.1326,0.1938,0.06125,0.116
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Eastern_Kono",0.1329,0.132,0.1004,0.1705,0.07002,0.1606
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"North Western_Kambia",0.06854,0.06745,0.04343,0.09778,0.05435,0.245
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"North Western_Karene",0.09319,0.08991,0.05659,0.1397,0.08312,0.2895
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"North Western_Port Loko",0.1158,0.1146,0.09168,0.1427,0.05103,0.136
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Northern_Bombali",0.1448,0.1427,0.1059,0.1923,0.08644,0.1857
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Northern_Falaba",0.08969,0.08726,0.04666,0.1421,0.09543,0.333
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Northern_Koinadugu",0.09544,0.09411,0.0653,0.1298,0.06451,0.2103
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Northern_Tonkolili",0.1331,0.1312,0.1049,0.1661,0.06126,0.1414
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Southern_Bo",0.1849,0.1836,0.1537,0.219,0.06532,0.1097
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Southern_Bonthe",0.1755,0.1752,0.1355,0.2189,0.08337,0.147
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Southern_Moyamba",0.1055,0.1046,0.08149,0.1327,0.05117,0.1492
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Southern_Pujehun",0.1865,0.1849,0.1575,0.2178,0.0603,0.1031
"SLE","Sierra Leone",2013,"SL2013DHS","FP_CUSM_W_MOD",2,"Western Area_Western Rural",0.2333,0.2326,0.1923,0.2782,0.08581,0.1073
