"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Arusha",0.3181,0.3181,0.2259,0.4272,0.2013,0.1945
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Dar es Salaam",0.335,0.335,0.3036,0.368,0.06434,0.05845
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Dodoma",0.4116,0.4116,0.335,0.4928,0.1578,0.1174
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Geita",0.1294,0.1294,0.09343,0.1766,0.08322,0.194
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Iringa",0.3211,0.3211,0.2535,0.3972,0.1437,0.1368
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Kagera",0.3865,0.3865,0.2974,0.4841,0.1867,0.1485
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Kaskazini Pemba",0.1101,0.1101,0.06631,0.1773,0.111,0.3002
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Kaskazini Unguja",0.1424,0.1424,0.09351,0.2108,0.1173,0.2481
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Katavi",0.1812,0.1812,0.1287,0.2491,0.1203,0.2013
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Kigoma",0.1753,0.1753,0.1258,0.239,0.1133,0.1958
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Kilimanjaro",0.478,0.478,0.4198,0.5368,0.117,0.07474
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Kusini Pemba",0.06814,0.06814,0.04718,0.09748,0.0503,0.2209
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Kusini Unguja",0.2889,0.2889,0.2178,0.3721,0.1543,0.1633
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Lindi",0.5156,0.5156,0.4654,0.5655,0.1,0.06299
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Manyara",0.2751,0.2751,0.2165,0.3425,0.126,0.1398
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Mara",0.2908,0.2908,0.2549,0.3296,0.07477,0.07825
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Mbeya",0.4593,0.4593,0.3872,0.5333,0.1461,0.09738
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Mjini Magharibi",0.1452,0.1452,0.1173,0.1784,0.0611,0.1276
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Morogoro",0.4689,0.4689,0.4227,0.5155,0.09279,0.06033
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Mtwara",0.4968,0.4968,0.4307,0.5631,0.1324,0.0815
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Mwanza",0.1836,0.1836,0.1303,0.2524,0.1221,0.2017
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Njombe",0.4498,0.4498,0.3923,0.5088,0.1165,0.0791
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Pwani",0.3913,0.3913,0.3181,0.4697,0.1516,0.1186
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Rukwa",0.3236,0.3236,0.272,0.3798,0.1078,0.1016
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Ruvuma",0.5081,0.5081,0.4488,0.5671,0.1183,0.07342
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Shinyanga",0.2125,0.2125,0.1684,0.2646,0.09621,0.1376
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Simiyu",0.1693,0.1693,0.1416,0.2011,0.05951,0.1068
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Singida",0.3843,0.3843,0.2931,0.4843,0.1912,0.153
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Songwe",0.4401,0.4401,0.2664,0.6299,0.3636,0.263
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Tabora",0.205,0.205,0.1561,0.2644,0.1083,0.1606
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",1,"Tanga",0.2963,0.2963,0.238,0.3621,0.1241,0.1278
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",2,"Arusha_Arusha",0.2752,0.2712,0.1708,0.4021,0.2313,0.2556
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",2,"Arusha_Arusha Urban",0.4922,0.4917,0.397,0.5847,0.1877,0.1183
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",2,"Arusha_Karatu",0.3914,0.3885,0.2839,0.5117,0.2279,0.1843
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",2,"Arusha_Lake Eyasi",0.3277,0.3202,0.1634,0.5241,0.3606,0.3438
"TZA","Tanzania",2015,"TZ2015DHS","FP_CUSM_W_MOD",2,"Arusha_Lake Manyara",0.3255,0.3155,0.1586,0.5192,0.3606,0.3582
